audio_tag,sound,source,quality
air hisses,hiss,air,
alarm beeps,beep,alarm,
alarm continues wailing,wail,alarm,
alert chime,chime,alert,
alex grunts,grunt,alex,
alice gasps,gasp,alice,
alice grunts,grunt,alice,
all chanting,chant,,
all cheering and applauding,cheer;applause,,
all singing,sing,,
all snarling,snarl,,
all snickering,snicker,,
all speaking hindi,speak,,
all speaking mandarin,speak,,
all talking at once,talk,,
all yell,yell,,
all yelling and grunting,yell;grunt,,
all yelling indistinctly,yell,,indistinctly
all yelp,yelp,,
all yelping,yelp,,
alpha whines,whine,alpha,
amplified breathing,breathe,,amplified
announcer speaking german,speak,announcer,
announcer speaking indistinctly,speak,announcer,indistinctly
answering machine beeps,beep,answering machine,
applause continues,applause,,
approaching footsteps,footstep,,approaching
aramaki speaks japanese,speak,aramaki,
artist 1 speaking,speak,artist 1,
artist 2 speaking,speak,artist 2,
ashley laughing,laugh,ashley,
ashley laughs,laugh,ashley,
audience applauds,applause,audience,
audience booing,boo,audience,
audience clapping,clap,audience,
audience exclaiming,exclaim,audience,
audience laughs,laugh,audience,
automatic gunfire,gunfire,,automatic
babies crying,cry,baby,
baby continues crying,cry,baby,
baby fussing,fuss,baby,
baby wailing,wail,baby,
bailey barks,bark,bailey,
ballad playing,ballad,,
band playing,music,band,
bangs table,bang,table,
barking and growling,bark;growl,,
battle cry,battle cry,,
bb-8 chirping excitedly,chirp,bb-8,excitedly
bb-8 chirping nervously,chirp,bb-8,nervously
bb-8 chirps inquisitively,chirp,bb-8,inquisitively
beeping intensifies,beep,,intensifies
beeps once,beep,,
beeps twice,beep,,
bell tolling in distance,toll,bell,in distance
bellowing continues,bellow,,
bellows,bellow,,
bells jingle,jingle,bell,
bells tolling,toll,bell,
ben sighs,sigh,ben,
bicycle bell ringing,ring,bicycle bell,
bird calling,call,bird,
bird cawing,caw,bird,
bird chirping,chirp,bird,
bird screeches,screech,bird,
bird screeching,screech,bird,
bird squawks,squawk,bird,
birds calling,call,bird,
birds singing,sing,bird,
birds tweeting,tweet,bird,
birds twittering,twitter,bird,
blowing air,blow,,
blowing raspberry,blow,,
blowing whistle,whistle,,
bob snoring,snore,bob,
bones crunching,crunch,bone,
both cheering,cheer,,
both continue grunting,grunt,,
both coughing,cough,,
both crying,cry,,
both exhale,exhale,,
both giggle,giggle,,
both giggling,giggle,,
both growling,growl,,
both sighing,sigh,,
both singing,sing,,
both speaking spanish,speak,,
both whooping,whoop,,
both yell,yell,,
both yelping,yelp,,
boy laughing,laugh,boy,
boys chattering,chatter,boy,
boys screaming,scream,boy,
branch snaps,snap,branch,
breathing loudly,breathe,,loudly
breathing raggedly,breathe,,raggedly
breathing shallowly,breathe,,shallowly
breathing sharply,breathe,,sharply
bridget laughs,laugh,bridget,
bull grunting,grunt,bull,
buzzer,,buzzer,
buzzer buzzes,buzz,buzzer,
buzzing stops,buzz,,stop
call disconnects,disconnect,phone,
camera beeps,beep,camera,
car alarm chirps,chirp,car alarm,
car alarms blaring,blare,car alarm,
car approaches,,car,approaching
car door closing,close,car door,
car door shuts,shut,car door,
car door slams,slam,car door,
car drives away,,car,
car engine revving,rev,engine,
car honks,honk,car,
car horn blares,blare,car horn,
car starting,,car,start
carnival music playing,music,,
carol anne screaming,scream,carol anne,
cat meowing,meow,cat,
cat yowling,yowl,cat,
cat yowls,yowl,cat,
cell phone buzzes,buzz,cell phone,
cell phone chim es,chimes,cell phone,
cell phone dings,ding,cell phone,
cellphone ringing,ring,cell phone,
